iter	Passed	Remaining
0	55	55444
1	56	28078
2	56	18923
3	57	14311
4	58	11542
5	58	9698
6	59	8377
7	59	7384
8	60	6612
9	60	5996
10	61	5490
11	61	5070
12	62	4715
13	62	4410
14	63	4146
15	63	3916
16	64	3711
17	64	3528
18	65	3365
19	65	3218
20	66	3089
21	66	2974
22	67	2867
23	68	2765
24	69	2706
25	70	2636
26	71	2560
27	71	2483
28	72	2412
29	72	2346
30	73	2284
31	73	2225
32	74	2169
33	74	2117
34	75	2069
35	75	2024
36	76	1980
37	76	1939
38	77	1900
39	77	1862
40	78	1826
41	78	1794
42	79	1763
43	79	1734
44	80	1708
45	81	1681
46	81	1655
47	82	1629
48	84	1639
49	85	1621
50	85	1599
51	86	1577
52	87	1556
53	87	1536
54	88	1517
55	88	1498
56	89	1480
57	90	1462
58	90	1444
59	91	1427
60	91	1411
61	92	1395
62	92	1380
63	93	1365
64	94	1352
65	95	1344
66	95	1330
67	96	1317
68	97	1321
69	98	1313
70	99	1303
71	100	1291
72	100	1280
73	101	1269
74	102	1258
75	102	1247
76	103	1237
77	103	1228
78	104	1218
79	105	1210
80	106	1204
81	106	1197
82	107	1185
83	108	1178
84	108	1172
85	109	1164
86	113	1187
87	113	1179
88	114	1175
89	115	1167
90	115	1158
91	116	1149
92	117	1141
93	117	1133
94	118	1124
95	118	1116
96	119	1108
97	119	1100
98	120	1092
99	120	1085
100	121	1077
101	121	1071
102	122	1064
103	122	1057
104	123	1051
105	123	1045
106	124	1038
107	125	1039
108	127	1039
109	127	1034
110	128	1028
111	128	1022
112	129	1016
113	130	1010
114	130	1005
115	131	999
116	131	992
117	132	987
118	132	981
119	133	975
120	133	970
121	133	964
122	134	958
123	135	953
124	135	949
125	136	944
126	136	938
127	137	933
128	137	929
129	138	924
130	139	923
131	141	927
132	141	923
133	142	921
134	143	917
135	143	913
136	144	910
137	145	906
138	145	903
139	146	899
140	147	895
141	147	890
142	147	886
143	148	882
144	148	878
145	150	878
146	150	874
147	151	871
148	152	868
149	152	864
150	153	863
151	155	866
152	155	863
153	156	859
154	157	856
155	157	852
156	158	849
157	158	845
158	159	841
159	159	837
160	159	833
161	160	829
162	160	826
163	161	823
164	161	819
165	162	816
166	163	813
167	163	810
168	164	806
169	164	804
170	165	801
171	165	798
172	166	795
173	167	793
174	168	792
175	169	795
176	170	793
177	171	791
178	172	789
179	172	786
180	173	783
181	173	780
182	174	778
183	174	775
184	175	772
185	175	769
186	176	766
187	176	763
188	177	760
189	177	758
190	178	755
191	178	752
192	179	749
193	179	747
194	180	744
195	180	742
196	181	739
197	182	737
198	184	741
199	184	739
200	185	737
201	186	735
202	186	733
203	187	731
204	187	728
205	188	726
206	189	724
207	189	722
208	190	720
209	190	717
210	191	715
211	191	713
212	192	710
213	192	708
214	193	705
215	193	702
216	194	700
217	194	697
218	194	695
219	195	692
220	195	690
221	196	687
222	197	687
223	198	686
224	199	685
225	199	684
226	200	681
227	200	679
228	201	677
229	201	674
230	202	672
231	202	670
232	202	667
233	203	665
234	203	663
235	204	661
236	204	659
237	205	657
238	205	654
239	206	652
240	206	650
241	206	648
242	207	646
243	207	644
244	208	641
245	208	639
246	209	638
247	209	636
248	210	634
249	211	634
250	213	636
251	214	635
252	214	633
253	215	631
254	215	629
255	215	627
256	216	625
257	216	623
258	217	622
259	217	619
260	218	618
261	218	616
262	219	614
263	219	612
264	220	610
265	220	608
266	220	606
267	221	604
268	221	602
269	222	600
270	222	599
271	223	597
272	223	595
273	224	594
274	224	592
275	225	590
276	225	588
277	226	589
278	228	589
279	228	588
280	229	586
281	229	584
282	230	583
283	230	581
284	230	579
285	231	577
286	231	576
287	232	574
288	232	572
289	233	570
290	233	568
291	233	567
292	234	565
293	234	563
294	235	561
295	235	560
296	235	558
297	236	556
298	236	555
299	237	553
300	237	551
301	238	550
302	238	548
303	239	547
304	239	545
305	241	546
306	241	546
307	242	544
308	242	543
309	243	541
310	243	540
311	244	538
312	244	537
313	245	535
314	245	533
315	245	532
316	246	530
317	246	529
318	247	527
319	247	526
320	247	524
321	248	522
322	248	521
323	249	519
324	249	518
325	249	516
326	250	515
327	250	513
328	251	512
329	251	510
330	251	509
331	252	507
332	252	506
333	253	505
334	253	503
335	254	503
336	256	504
337	256	502
338	257	501
339	257	500
340	258	499
341	258	497
342	259	496
343	259	495
344	260	493
345	260	492
346	260	490
347	261	489
348	261	488
349	262	486
350	262	485
351	262	484
352	263	483
353	264	481
354	264	480
355	265	479
356	265	478
357	265	476
358	266	475
359	266	474
360	267	473
361	267	471
362	268	470
363	269	470
364	270	470
365	270	469
366	271	468
367	272	467
368	272	466
369	273	465
370	273	463
371	274	462
372	274	461
373	275	460
374	275	459
375	275	457
376	276	456
377	276	455
378	277	454
379	277	453
